@relation learnds

@attribute X numeric
@attribute Y numeric

@data
-5,2.236068
-4.99,2.233831
-4.98,2.231591
-4.97,2.22935
-4.96,2.227106
-4.95,2.22486
-4.94,2.222611
-4.93,2.22036
-4.92,2.218107
-4.91,2.215852
-4.9,2.213594
-4.89,2.211334
-4.88,2.209072
-4.87,2.206808
-4.86,2.204541
-4.85,2.202272
-4.84,2.2
-4.83,2.197726
-4.82,2.19545
-4.81,2.193171
-4.8,2.19089
-4.79,2.188607
-4.78,2.186321
-4.77,2.184033
-4.76,2.181742
-4.75,2.179449
-4.74,2.177154
-4.73,2.174856
-4.72,2.172556
-4.71,2.170253
-4.7,2.167948
-4.69,2.165641
-4.68,2.163331
-4.67,2.161018
-4.66,2.158703
-4.65,2.156386
-4.64,2.154066
-4.63,2.151743
-4.62,2.149419
-4.61,2.147091
-4.6,2.144761
-4.59,2.142429
-4.58,2.140093
-4.57,2.137756
-4.56,2.135416
-4.55,2.133073
-4.54,2.130728
-4.53,2.12838
-4.52,2.126029
-4.51,2.123676
-4.5,2.12132
-4.49,2.118962
-4.48,2.116601
-4.47,2.114237
-4.46,2.111871
-4.45,2.109502
-4.44,2.107131
-4.43,2.104757
-4.42,2.10238
-4.41,2.1
-4.4,2.097618
-4.39,2.095233
-4.38,2.092845
-4.37,2.090454
-4.36,2.088061
-4.35,2.085665
-4.34,2.083267
-4.33,2.080865
-4.32,2.078461
-4.31,2.076054
-4.3,2.073644
-4.29,2.071232
-4.28,2.068816
-4.27,2.066398
-4.26,2.063977
-4.25,2.061553
-4.24,2.059126
-4.23,2.056696
-4.22,2.054264
-4.21,2.051828
-4.2,2.04939
-4.19,2.046949
-4.18,2.044505
-4.17,2.042058
-4.16,2.039608
-4.15,2.037155
-4.14,2.034699
-4.13,2.03224
-4.12,2.029778
-4.11,2.027313
-4.1,2.024846
-4.09,2.022375
-4.08,2.019901
-4.07,2.017424
-4.06,2.014944
-4.05,2.012461
-4.04,2.009975
-4.03,2.007486
-4.02,2.004994
-4.01,2.002498
-4,2
-3.99,1.997498
-3.98,1.994994
-3.97,1.992486
-3.96,1.989975
-3.95,1.987461
-3.94,1.984943
-3.93,1.982423
-3.92,1.979899
-3.91,1.977372
-3.9,1.974842
-3.89,1.972308
-3.88,1.969772
-3.87,1.967232
-3.86,1.964688
-3.85,1.962142
-3.84,1.959592
-3.83,1.957039
-3.82,1.954482
-3.81,1.951922
-3.8,1.949359
-3.79,1.946792
-3.78,1.944222
-3.77,1.941649
-3.76,1.939072
-3.75,1.936492
-3.74,1.933908
-3.73,1.931321
-3.72,1.92873
-3.71,1.926136
-3.7,1.923538
-3.69,1.920937
-3.68,1.918333
-3.67,1.915724
-3.66,1.913113
-3.65,1.910497
-3.64,1.907878
-3.63,1.905256
-3.62,1.90263
-3.61,1.9
-3.6,1.897367
-3.59,1.89473
-3.58,1.892089
-3.57,1.889444
-3.56,1.886796
-3.55,1.884144
-3.54,1.881489
-3.53,1.878829
-3.52,1.876166
-3.51,1.873499
-3.5,1.870829
-3.49,1.868154
-3.48,1.865476
-3.47,1.862794
-3.46,1.860108
-3.45,1.857418
-3.44,1.854724
-3.43,1.852026
-3.42,1.849324
-3.41,1.846619
-3.4,1.843909
-3.39,1.841195
-3.38,1.838478
-3.37,1.835756
-3.36,1.83303
-3.35,1.830301
-3.34,1.827567
-3.33,1.824829
-3.32,1.822087
-3.31,1.819341
-3.3,1.81659
-3.29,1.813836
-3.28,1.811077
-3.27,1.808314
-3.26,1.805547
-3.25,1.802776
-3.24,1.8
-3.23,1.79722
-3.22,1.794436
-3.21,1.791647
-3.2,1.788854
-3.19,1.786057
-3.18,1.783255
-3.17,1.780449
-3.16,1.777639
-3.15,1.774824
-3.14,1.772005
-3.13,1.769181
-3.12,1.766352
-3.11,1.763519
-3.1,1.760682
-3.09,1.75784
-3.08,1.754993
-3.07,1.752142
-3.06,1.749286
-3.05,1.746425
-3.04,1.74356
-3.03,1.74069
-3.02,1.737815
-3.01,1.734935
-3,1.732051
-2.99,1.729162
-2.98,1.726268
-2.97,1.723369
-2.96,1.720465
-2.95,1.717556
-2.94,1.714643
-2.93,1.711724
-2.92,1.708801
-2.91,1.705872
-2.9,1.702939
-2.89,1.7
-2.88,1.697056
-2.87,1.694107
-2.86,1.691153
-2.85,1.688194
-2.84,1.68523
-2.83,1.68226
-2.82,1.679286
-2.81,1.676305
-2.8,1.67332
-2.79,1.670329
-2.78,1.667333
-2.77,1.664332
-2.76,1.661325
-2.75,1.658312
-2.74,1.655295
-2.73,1.652271
-2.72,1.649242
-2.71,1.646208
-2.7,1.643168
-2.69,1.640122
-2.68,1.637071
-2.67,1.634013
-2.66,1.630951
-2.65,1.627882
-2.64,1.624808
-2.63,1.621727
-2.62,1.618641
-2.61,1.615549
-2.6,1.612452
-2.59,1.609348
-2.58,1.606238
-2.57,1.603122
-2.56,1.6
-2.55,1.596872
-2.54,1.593738
-2.53,1.590597
-2.52,1.587451
-2.51,1.584298
-2.5,1.581139
-2.49,1.577973
-2.48,1.574802
-2.47,1.571623
-2.46,1.568439
-2.45,1.565248
-2.44,1.56205
-2.43,1.558846
-2.42,1.555635
-2.41,1.552417
-2.4,1.549193
-2.39,1.545962
-2.38,1.542725
-2.37,1.53948
-2.36,1.536229
-2.35,1.532971
-2.34,1.529706
-2.33,1.526434
-2.32,1.523155
-2.31,1.519868
-2.3,1.516575
-2.29,1.513275
-2.28,1.509967
-2.27,1.506652
-2.26,1.50333
-2.25,1.5
-2.24,1.496663
-2.23,1.493318
-2.22,1.489966
-2.21,1.486607
-2.2,1.48324
-2.19,1.479865
-2.18,1.476482
-2.17,1.473092
-2.16,1.469694
-2.15,1.466288
-2.14,1.462874
-2.13,1.459452
-2.12,1.456022
-2.11,1.452584
-2.1,1.449138
-2.09,1.445683
-2.08,1.442221
-2.07,1.438749
-2.06,1.43527
-2.05,1.431782
-2.04,1.428286
-2.03,1.424781
-2.02,1.421267
-2.01,1.417745
-2,1.414214
-1.99,1.410674
-1.98,1.407125
-1.97,1.403567
-1.96,1.4
-1.95,1.396424
-1.94,1.392839
-1.93,1.389244
-1.92,1.385641
-1.91,1.382027
-1.9,1.378405
-1.89,1.374773
-1.88,1.371131
-1.87,1.367479
-1.86,1.363818
-1.85,1.360147
-1.84,1.356466
-1.83,1.352775
-1.82,1.349074
-1.81,1.345362
-1.8,1.341641
-1.79,1.337909
-1.78,1.334166
-1.77,1.330413
-1.76,1.32665
-1.75,1.322876
-1.74,1.319091
-1.73,1.315295
-1.72,1.311488
-1.71,1.30767
-1.7,1.30384
-1.69,1.3
-1.68,1.296148
-1.67,1.292285
-1.66,1.28841
-1.65,1.284523
-1.64,1.280625
-1.63,1.276715
-1.62,1.272792
-1.61,1.268858
-1.6,1.264911
-1.59,1.260952
-1.58,1.256981
-1.57,1.252996
-1.56,1.249
-1.55,1.24499
-1.54,1.240967
-1.53,1.236932
-1.52,1.232883
-1.51,1.228821
-1.5,1.224745
-1.49,1.220656
-1.48,1.216553
-1.47,1.212436
-1.46,1.208305
-1.45,1.204159
-1.44,1.2
-1.43,1.195826
-1.42,1.191638
-1.41,1.187434
-1.4,1.183216
-1.39,1.178983
-1.38,1.174734
-1.37,1.17047
-1.36,1.16619
-1.35,1.161895
-1.34,1.157584
-1.33,1.153256
-1.32,1.148913
-1.31,1.144552
-1.3,1.140175
-1.29,1.135782
-1.28,1.131371
-1.27,1.126943
-1.26,1.122497
-1.25,1.118034
-1.24,1.113553
-1.23,1.109054
-1.22,1.104536
-1.21,1.1
-1.2,1.095445
-1.19,1.090871
-1.18,1.086278
-1.17,1.081665
-1.16,1.077033
-1.15,1.072381
-1.14,1.067708
-1.13,1.063015
-1.12,1.058301
-1.11,1.053565
-1.1,1.048809
-1.09,1.044031
-1.08,1.03923
-1.07,1.034408
-1.06,1.029563
-1.05,1.024695
-1.04,1.019804
-1.03,1.014889
-1.02,1.00995
-1.01,1.004988
-1,1
-0.99,0.994987
-0.98,0.989949
-0.97,0.984886
-0.96,0.979796
-0.95,0.974679
-0.94,0.969536
-0.93,0.964365
-0.92,0.959166
-0.91,0.953939
-0.9,0.948683
-0.89,0.943398
-0.88,0.938083
-0.87,0.932738
-0.86,0.927362
-0.85,0.921954
-0.84,0.916515
-0.83,0.911043
-0.82,0.905539
-0.81,0.9
-0.8,0.894427
-0.79,0.888819
-0.78,0.883176
-0.77,0.877496
-0.76,0.87178
-0.75,0.866025
-0.74,0.860233
-0.73,0.8544
-0.72,0.848528
-0.71,0.842615
-0.7,0.83666
-0.69,0.830662
-0.68,0.824621
-0.67,0.818535
-0.66,0.812404
-0.65,0.806226
