@relation testds

@attribute x numeric
@attribute y numeric

@data
-5,2.236068
-4.955,2.225983
-4.91,2.215852
-4.865,2.205675
-4.82,2.19545
-4.775,2.185177
-4.73,2.174856
-4.685,2.164486
-4.64,2.154066
-4.595,2.143595
-4.55,2.133073
-4.505,2.122499
-4.46,2.111871
-4.415,2.10119
-4.37,2.090454
-4.325,2.079663
-4.28,2.068816
-4.235,2.057912
-4.19,2.046949
-4.145,2.035927
-4.1,2.024846
-4.055,2.013703
-4.01,2.002498
-3.965,1.991231
-3.92,1.979899
-3.875,1.968502
-3.83,1.957039
-3.785,1.945508
-3.74,1.933908
-3.695,1.922238
-3.65,1.910497
-3.605,1.898684
-3.56,1.886796
-3.515,1.874833
-3.47,1.862794
-3.425,1.850676
-3.38,1.838478
-3.335,1.826198
-3.29,1.813836
-3.245,1.801388
-3.2,1.788854
-3.155,1.776232
-3.11,1.763519
-3.065,1.750714
-3.02,1.737815
-2.975,1.724819
-2.93,1.711724
-2.885,1.698529
-2.84,1.68523
-2.795,1.671825
-2.75,1.658312
-2.705,1.644688
-2.66,1.630951
-2.615,1.617096
-2.57,1.603122
-2.525,1.589025
-2.48,1.574802
-2.435,1.560449
-2.39,1.545962
-2.345,1.531339
-2.3,1.516575
-2.255,1.501666
-2.21,1.486607
-2.165,1.471394
-2.12,1.456022
-2.075,1.440486
-2.03,1.424781
-1.985,1.4089
-1.94,1.392839
-1.895,1.37659
-1.85,1.360147
-1.805,1.343503
-1.76,1.32665
-1.715,1.30958
-1.67,1.292285
-1.625,1.274755
-1.58,1.256981
-1.535,1.238951
-1.49,1.220656
-1.445,1.202082
-1.4,1.183216
-1.355,1.164045
-1.31,1.144552
-1.265,1.124722
-1.22,1.104536
-1.175,1.083974
-1.13,1.063015
-1.085,1.041633
-1.04,1.019804
-0.995,0.997497
-0.95,0.974679
-0.905,0.951315
-0.86,0.927362
-0.815,0.902774
-0.77,0.877496
-0.725,0.851469
-0.68,0.824621
-0.635,0.796869
-0.59,0.768115
-0.545,0.738241
-0.5,0.707107
-0.455,0.674537
-0.41,0.640312
-0.365,0.604152
-0.32,0.565685
-0.275,0.524404
-0.23,0.479583
-0.185,0.430116
-0.14,0.374166
-0.095,0.308221
-0.05,0.223607
-0.005,0.070711
0.04,0.2
0.085,0.291548
0.13,0.360555
0.175,0.41833
0.22,0.469042
0.265,0.514782
0.31,0.556776
0.355,0.595819
0.4,0.632456
0.445,0.667083
0.49,0.7
0.535,0.731437
0.58,0.761577
0.625,0.790569
0.67,0.818535
0.715,0.845577
0.76,0.87178
0.805,0.897218
0.85,0.921954
0.895,0.946044
0.94,0.969536
0.985,0.992472
1.03,1.014889
1.075,1.036822
1.12,1.058301
1.165,1.079352
1.21,1.1
1.255,1.120268
1.3,1.140175
1.345,1.159741
1.39,1.178983
1.435,1.197915
1.48,1.216553
1.525,1.234909
1.57,1.252996
1.615,1.270827
1.66,1.28841
1.705,1.305756
1.75,1.322876
1.795,1.339776
1.84,1.356466
1.885,1.372953
1.93,1.389244
1.975,1.405347
2.02,1.421267
2.065,1.437011
2.11,1.452584
2.155,1.467992
2.2,1.48324
2.245,1.498332
2.29,1.513275
2.335,1.528071
2.38,1.542725
2.425,1.557241
2.47,1.571623
2.515,1.585875
2.56,1.6
2.605,1.614001
2.65,1.627882
2.695,1.641646
2.74,1.655295
2.785,1.668832
2.83,1.68226
2.875,1.695582
2.92,1.708801
2.965,1.721918
3.01,1.734935
3.055,1.747856
3.1,1.760682
3.145,1.773415
3.19,1.786057
3.235,1.798611
3.28,1.811077
3.325,1.823458
3.37,1.835756
3.415,1.847972
3.46,1.860108
3.505,1.872165
3.55,1.884144
3.595,1.896049
3.64,1.907878
3.685,1.919635
3.73,1.931321
3.775,1.942936
3.82,1.954482
3.865,1.96596
3.91,1.977372
3.955,1.988718
4,2
4.045,2.011219
4.09,2.022375
4.135,2.03347
4.18,2.044505
4.225,2.05548
4.27,2.066398
4.315,2.077258
4.36,2.088061
4.405,2.098809
4.45,2.109502
4.495,2.120142
4.54,2.130728
4.585,2.141261
4.63,2.151743
4.675,2.162175
4.72,2.172556
4.765,2.182888
4.81,2.193171
4.855,2.203406
4.9,2.213594
4.945,2.223736
4.99,2.233831
