@relation learnds

@attribute x numeric
@attribute y numeric

@data
-5,-1.373401
-4.99,-1.373015
-4.98,-1.372629
-4.97,-1.37224
-4.96,-1.37185
-4.95,-1.371459
-4.94,-1.371066
-4.93,-1.370672
-4.92,-1.370276
-4.91,-1.369878
-4.9,-1.369479
-4.89,-1.369079
-4.88,-1.368676
-4.87,-1.368273
-4.86,-1.367867
-4.85,-1.36746
-4.84,-1.367052
-4.83,-1.366641
-4.82,-1.36623
-4.81,-1.365816
-4.8,-1.365401
-4.79,-1.364984
-4.78,-1.364566
-4.77,-1.364145
-4.76,-1.363724
-4.75,-1.3633
-4.74,-1.362875
-4.73,-1.362448
-4.72,-1.362019
-4.71,-1.361589
-4.7,-1.361156
-4.69,-1.360723
-4.68,-1.360287
-4.67,-1.359849
-4.66,-1.35941
-4.65,-1.358969
-4.64,-1.358526
-4.63,-1.358081
-4.62,-1.357634
-4.61,-1.357186
-4.6,-1.356736
-4.59,-1.356283
-4.58,-1.355829
-4.57,-1.355373
-4.56,-1.354915
-4.55,-1.354456
-4.54,-1.353994
-4.53,-1.35353
-4.52,-1.353065
-4.51,-1.352597
-4.5,-1.352127
-4.49,-1.351656
-4.48,-1.351182
-4.47,-1.350707
-4.46,-1.350229
-4.45,-1.349749
-4.44,-1.349268
-4.43,-1.348784
-4.42,-1.348298
-4.41,-1.34781
-4.4,-1.34732
-4.39,-1.346828
-4.38,-1.346333
-4.37,-1.345837
-4.36,-1.345338
-4.35,-1.344837
-4.34,-1.344334
-4.33,-1.343829
-4.32,-1.343321
-4.31,-1.342812
-4.3,-1.3423
-4.29,-1.341785
-4.28,-1.341269
-4.27,-1.34075
-4.26,-1.340229
-4.25,-1.339706
-4.24,-1.33918
-4.23,-1.338652
-4.22,-1.338121
-4.21,-1.337588
-4.2,-1.337053
-4.19,-1.336515
-4.18,-1.335975
-4.17,-1.335433
-4.16,-1.334888
-4.15,-1.33434
-4.14,-1.33379
-4.13,-1.333238
-4.12,-1.332683
-4.11,-1.332125
-4.1,-1.331565
-4.09,-1.331002
-4.08,-1.330437
-4.07,-1.329869
-4.06,-1.329298
-4.05,-1.328725
-4.04,-1.328149
-4.03,-1.32757
-4.02,-1.326989
-4.01,-1.326405
-4,-1.325818
-3.99,-1.325228
-3.98,-1.324636
-3.97,-1.32404
-3.96,-1.323442
-3.95,-1.322841
-3.94,-1.322238
-3.93,-1.321631
-3.92,-1.321022
-3.91,-1.320409
-3.9,-1.319794
-3.89,-1.319175
-3.88,-1.318554
-3.87,-1.317929
-3.86,-1.317302
-3.85,-1.316672
-3.84,-1.316038
-3.83,-1.315401
-3.82,-1.314762
-3.81,-1.314119
-3.8,-1.313473
-3.79,-1.312823
-3.78,-1.312171
-3.77,-1.311515
-3.76,-1.310856
-3.75,-1.310194
-3.74,-1.309528
-3.73,-1.308859
-3.72,-1.308187
-3.71,-1.307512
-3.7,-1.306833
-3.69,-1.30615
-3.68,-1.305464
-3.67,-1.304775
-3.66,-1.304082
-3.65,-1.303386
-3.64,-1.302686
-3.63,-1.301982
-3.62,-1.301275
-3.61,-1.300564
-3.6,-1.299849
-3.59,-1.299131
-3.58,-1.298409
-3.57,-1.297684
-3.56,-1.296954
-3.55,-1.296221
-3.54,-1.295484
-3.53,-1.294743
-3.52,-1.293998
-3.51,-1.293249
-3.5,-1.292497
-3.49,-1.29174
-3.48,-1.290979
-3.47,-1.290214
-3.46,-1.289446
-3.45,-1.288673
-3.44,-1.287895
-3.43,-1.287114
-3.42,-1.286329
-3.41,-1.285539
-3.4,-1.284745
-3.39,-1.283947
-3.38,-1.283144
-3.37,-1.282337
-3.36,-1.281525
-3.35,-1.280709
-3.34,-1.279889
-3.33,-1.279064
-3.32,-1.278235
-3.31,-1.2774
-3.3,-1.276562
-3.29,-1.275718
-3.28,-1.27487
-3.27,-1.274017
-3.26,-1.27316
-3.25,-1.272297
-3.24,-1.27143
-3.23,-1.270558
-3.22,-1.269681
-3.21,-1.268799
-3.2,-1.267911
-3.19,-1.267019
-3.18,-1.266122
-3.17,-1.265219
-3.16,-1.264312
-3.15,-1.263399
-3.14,-1.262481
-3.13,-1.261557
-3.12,-1.260628
-3.11,-1.259694
-3.1,-1.258754
-3.09,-1.257809
-3.08,-1.256858
-3.07,-1.255902
-3.06,-1.25494
-3.05,-1.253972
-3.04,-1.252998
-3.03,-1.252019
-3.02,-1.251034
-3.01,-1.250043
-3,-1.249046
-2.99,-1.248043
-2.98,-1.247034
-2.97,-1.246019
-2.96,-1.244997
-2.95,-1.24397
-2.94,-1.242936
-2.93,-1.241896
-2.92,-1.240849
-2.91,-1.239796
-2.9,-1.238737
-2.89,-1.237671
-2.88,-1.236598
-2.87,-1.235519
-2.86,-1.234433
-2.85,-1.23334
-2.84,-1.232241
-2.83,-1.231134
-2.82,-1.230021
-2.81,-1.2289
-2.8,-1.227772
-2.79,-1.226638
-2.78,-1.225496
-2.77,-1.224346
-2.76,-1.223189
-2.75,-1.222025
-2.74,-1.220854
-2.73,-1.219674
-2.72,-1.218488
-2.71,-1.217293
-2.7,-1.216091
-2.69,-1.21488
-2.68,-1.213662
-2.67,-1.212436
-2.66,-1.211202
-2.65,-1.20996
-2.64,-1.208709
-2.63,-1.20745
-2.62,-1.206183
-2.61,-1.204907
-2.6,-1.203622
-2.59,-1.20233
-2.58,-1.201028
-2.57,-1.199717
-2.56,-1.198398
-2.55,-1.19707
-2.54,-1.195732
-2.53,-1.194385
-2.52,-1.19303
-2.51,-1.191665
-2.5,-1.19029
-2.49,-1.188906
-2.48,-1.187512
-2.47,-1.186109
-2.46,-1.184696
-2.45,-1.183273
-2.44,-1.181839
-2.43,-1.180396
-2.42,-1.178943
-2.41,-1.177479
-2.4,-1.176005
-2.39,-1.174521
-2.38,-1.173025
-2.37,-1.17152
-2.36,-1.170003
-2.35,-1.168475
-2.34,-1.166937
-2.33,-1.165387
-2.32,-1.163826
-2.31,-1.162253
-2.3,-1.160669
-2.29,-1.159073
-2.28,-1.157466
-2.27,-1.155847
-2.26,-1.154215
-2.25,-1.152572
-2.24,-1.150916
-2.23,-1.149248
-2.22,-1.147568
-2.21,-1.145875
-2.2,-1.144169
-2.19,-1.14245
-2.18,-1.140718
-2.17,-1.138973
-2.16,-1.137215
-2.15,-1.135443
-2.14,-1.133658
-2.13,-1.131859
-2.12,-1.130045
-2.11,-1.128218
-2.1,-1.126377
-2.09,-1.124521
-2.08,-1.122651
-2.07,-1.120767
-2.06,-1.118867
-2.05,-1.116952
-2.04,-1.115023
-2.03,-1.113078
-2.02,-1.111117
-2.01,-1.109141
-2,-1.107149
-1.99,-1.105141
-1.98,-1.103116
-1.97,-1.101076
-1.96,-1.099019
-1.95,-1.096945
-1.94,-1.094854
-1.93,-1.092746
-1.92,-1.090621
-1.91,-1.088479
-1.9,-1.086318
-1.89,-1.08414
-1.88,-1.081944
-1.87,-1.079729
-1.86,-1.077496
-1.85,-1.075245
-1.84,-1.072974
-1.83,-1.070684
-1.82,-1.068375
-1.81,-1.066046
-1.8,-1.063698
-1.79,-1.061329
-1.78,-1.05894
-1.77,-1.056531
-1.76,-1.054101
-1.75,-1.05165
-1.74,-1.049178
-1.73,-1.046684
-1.72,-1.044169
-1.71,-1.041632
-1.7,-1.039072
-1.69,-1.03649
-1.68,-1.033886
-1.67,-1.031258
-1.66,-1.028607
-1.65,-1.025932
-1.64,-1.023234
-1.63,-1.020512
-1.62,-1.017765
-1.61,-1.014993
-1.6,-1.012197
-1.59,-1.009375
-1.58,-1.006528
-1.57,-1.003655
-1.56,-1.000756
-1.55,-0.99783
-1.54,-0.994878
-1.53,-0.991898
-1.52,-0.988891
-1.51,-0.985857
-1.5,-0.982794
-1.49,-0.979703
-1.48,-0.976583
-1.47,-0.973434
-1.46,-0.970255
-1.45,-0.967047
-1.44,-0.963809
-1.43,-0.96054
-1.42,-0.95724
-1.41,-0.953909
-1.4,-0.950547
-1.39,-0.947152
-1.38,-0.943726
-1.37,-0.940266
-1.36,-0.936774
-1.35,-0.933248
-1.34,-0.929688
-1.33,-0.926093
-1.32,-0.922464
-1.31,-0.9188
-1.3,-0.915101
-1.29,-0.911365
-1.28,-0.907593
-1.27,-0.903785
-1.26,-0.899939
-1.25,-0.896055
-1.24,-0.892134
-1.23,-0.888174
-1.22,-0.884175
-1.21,-0.880136
-1.2,-0.876058
-1.19,-0.871939
-1.18,-0.86778
-1.17,-0.863579
-1.16,-0.859337
-1.15,-0.855053
-1.14,-0.850726
-1.13,-0.846355
-1.12,-0.841942
-1.11,-0.837484
-1.1,-0.832981
-1.09,-0.828434
-1.08,-0.823841
-1.07,-0.819202
-1.06,-0.814516
-1.05,-0.809784
-1.04,-0.805003
-1.03,-0.800175
-1.02,-0.795299
-1.01,-0.790373
-1,-0.785398
-0.99,-0.780373
-0.98,-0.775297
-0.97,-0.770171
-0.96,-0.764993
-0.95,-0.759763
-0.94,-0.75448
-0.93,-0.749145
-0.92,-0.743756
-0.91,-0.738313
-0.9,-0.732815
-0.89,-0.727263
-0.88,-0.721655
-0.87,-0.715991
-0.86,-0.710271
-0.85,-0.704494
-0.84,-0.69866
-0.83,-0.692768
-0.82,-0.686818
-0.81,-0.680809
-0.8,-0.674741
-0.79,-0.668614
-0.78,-0.662426
-0.77,-0.656179
-0.76,-0.64987
-0.75,-0.643501
-0.74,-0.63707
-0.73,-0.630578
-0.72,-0.624023
-0.71,-0.617406
-0.7,-0.610726
-0.69,-0.603983
-0.68,-0.597177
-0.67,-0.590307
-0.66,-0.583373
-0.65,-0.576375
-0.64,-0.569313
-0.63,-0.562187
-0.62,-0.554996
-0.61,-0.54774
-0.6,-0.54042
-0.59,-0.533034
-0.58,-0.525584
-0.57,-0.518069
-0.56,-0.510488
-0.55,-0.502843
-0.54,-0.495133
-0.53,-0.487359
-0.52,-0.479519
-0.51,-0.471616
-0.5,-0.463648
-0.49,-0.455616
-0.48,-0.44752
-0.47,-0.439361
-0.46,-0.431139
-0.45,-0.422854
-0.44,-0.414507
-0.43,-0.406098
-0.42,-0.397628
-0.41,-0.389097
-0.4,-0.380506
-0.39,-0.371856
-0.38,-0.363147
-0.37,-0.35438
-0.36,-0.345556
-0.35,-0.336675
-0.34,-0.327739
-0.33,-0.318748
-0.32,-0.309703
-0.31,-0.300606
-0.3,-0.291457
-0.29,-0.282257
-0.28,-0.273009
-0.27,-0.263712
-0.26,-0.254368
-0.25,-0.244979
-0.24,-0.235545
-0.23,-0.226068
-0.22,-0.21655
-0.21,-0.206992
-0.2,-0.197396
-0.19,-0.187762
-0.18,-0.178093
-0.17,-0.16839
-0.16,-0.158655
-0.15,-0.14889
-0.14,-0.139096
-0.13,-0.129275
-0.12,-0.119429
-0.11,-0.10956
-0.1,-0.099669
-0.09,-0.089758
-0.08,-0.07983
-0.07,-0.069886
-0.06,-0.059928
-0.05,-0.049958
-0.04,-0.039979
-0.03,-0.029991
-0.02,-0.019997
-0.01,-0.01
-0,-0
0.01,0.01
0.02,0.019997
0.03,0.029991
0.04,0.039979
0.05,0.049958
0.06,0.059928
0.07,0.069886
0.08,0.07983
0.09,0.089758
0.1,0.099669
0.11,0.10956
0.12,0.119429
0.13,0.129275
0.14,0.139096
0.15,0.14889
0.16,0.158655
0.17,0.16839
0.18,0.178093
0.19,0.187762
0.2,0.197396
0.21,0.206992
0.22,0.21655
0.23,0.226068
0.24,0.235545
0.25,0.244979
0.26,0.254368
0.27,0.263712
0.28,0.273009
0.29,0.282257
0.3,0.291457
0.31,0.300606
0.32,0.309703
0.33,0.318748
0.34,0.327739
0.35,0.336675
0.36,0.345556
0.37,0.35438
0.38,0.363147
0.39,0.371856
0.4,0.380506
0.41,0.389097
0.42,0.397628
0.43,0.406098
0.44,0.414507
0.45,0.422854
0.46,0.431139
0.47,0.439361
0.48,0.44752
0.49,0.455616
0.5,0.463648
0.51,0.471616
0.52,0.479519
0.53,0.487359
0.54,0.495133
0.55,0.502843
0.56,0.510488
0.57,0.518069
0.58,0.525584
0.59,0.533034
0.6,0.54042
0.61,0.54774
0.62,0.554996
0.63,0.562187
0.64,0.569313
0.65,0.576375
0.66,0.583373
0.67,0.590307
0.68,0.597177
0.69,0.603983
0.7,0.610726
0.71,0.617406
0.72,0.624023
0.73,0.630578
0.74,0.63707
0.75,0.643501
0.76,0.64987
0.77,0.656179
0.78,0.662426
0.79,0.668614
0.8,0.674741
0.81,0.680809
0.82,0.686818
0.83,0.692768
0.84,0.69866
0.85,0.704494
0.86,0.710271
0.87,0.715991
0.88,0.721655
0.89,0.727263
0.9,0.732815
0.91,0.738313
0.92,0.743756
0.93,0.749145
0.94,0.75448
0.95,0.759763
0.96,0.764993
0.97,0.770171
0.98,0.775297
0.99,0.780373
1,0.785398
1.01,0.790373
1.02,0.795299
1.03,0.800175
1.04,0.805003
1.05,0.809784
1.06,0.814516
1.07,0.819202
1.08,0.823841
1.09,0.828434
1.1,0.832981
1.11,0.837484
1.12,0.841942
1.13,0.846355
1.14,0.850726
1.15,0.855053
1.16,0.859337
1.17,0.863579
1.18,0.86778
