@relation testds

@attribute X numeric
@attribute Y numeric

@data
-5,-0.999909
-4.955,-0.999901
-4.91,-0.999891
-4.865,-0.999881
-4.82,-0.99987
-4.775,-0.999858
-4.73,-0.999844
-4.685,-0.99983
-4.64,-0.999813
-4.595,-0.999796
-4.55,-0.999777
-4.505,-0.999756
-4.46,-0.999733
-4.415,-0.999707
-4.37,-0.99968
-4.325,-0.99965
-4.28,-0.999617
-4.235,-0.999581
-4.19,-0.999541
-4.145,-0.999498
-4.1,-0.999451
-4.055,-0.999399
-4.01,-0.999343
-3.965,-0.999281
-3.92,-0.999213
-3.875,-0.999139
-3.83,-0.999058
-3.785,-0.998969
-3.74,-0.998872
-3.695,-0.998766
-3.65,-0.99865
-3.605,-0.998523
-3.56,-0.998384
-3.515,-0.998232
-3.47,-0.998065
-3.425,-0.997883
-3.38,-0.997684
-3.335,-0.997466
-3.29,-0.997228
-3.245,-0.996968
-3.2,-0.996682
-3.155,-0.996371
-3.11,-0.996029
-3.065,-0.995656
-3.02,-0.995248
-2.975,-0.994802
-2.93,-0.994314
-2.885,-0.99378
-2.84,-0.993196
-2.795,-0.992558
-2.75,-0.99186
-2.705,-0.991097
-2.66,-0.990262
-2.615,-0.98935
-2.57,-0.988353
-2.525,-0.987263
-2.48,-0.986072
-2.435,-0.98477
-2.39,-0.983348
-2.345,-0.981794
-2.3,-0.980096
-2.255,-0.978242
-2.21,-0.976218
-2.165,-0.974007
-2.12,-0.971594
-2.075,-0.96896
-2.03,-0.966087
-1.985,-0.962952
-1.94,-0.959534
-1.895,-0.955807
-1.85,-0.951746
-1.805,-0.947321
-1.76,-0.942503
-1.715,-0.937258
-1.67,-0.931552
-1.625,-0.925346
-1.58,-0.918602
-1.535,-0.911276
-1.49,-0.903325
-1.445,-0.8947
-1.4,-0.885352
-1.355,-0.875228
-1.31,-0.864275
-1.265,-0.852437
-1.22,-0.839654
-1.175,-0.825868
-1.13,-0.811019
-1.085,-0.795046
-1.04,-0.777888
-0.995,-0.759486
-0.95,-0.739783
-0.905,-0.718724
-0.86,-0.696258
-0.815,-0.672339
-0.77,-0.646929
-0.725,-0.619997
-0.68,-0.591519
-0.635,-0.561485
-0.59,-0.529896
-0.545,-0.496763
-0.5,-0.462117
-0.455,-0.426
-0.41,-0.388473
-0.365,-0.349611
-0.32,-0.309507
-0.275,-0.268271
-0.23,-0.226028
-0.185,-0.182918
-0.14,-0.139092
-0.095,-0.094715
-0.05,-0.049958
-0.005,-0.005
0.04,0.039979
0.085,0.084796
0.13,0.129273
0.175,0.173235
0.22,0.216518
0.265,0.258966
0.31,0.300437
0.355,0.340802
0.4,0.379949
0.445,0.41778
0.49,0.454216
0.535,0.489194
0.58,0.522665
0.625,0.5546
0.67,0.58498
0.715,0.613803
0.76,0.641077
0.805,0.666823
0.85,0.691069
0.895,0.713855
0.94,0.735222
0.985,0.755222
1.03,0.773908
1.075,0.791338
1.12,0.807569
1.165,0.822663
1.21,0.836679
1.255,0.84968
1.3,0.861723
1.345,0.872868
1.39,0.883171
1.435,0.892687
1.48,0.901468
1.525,0.909565
1.57,0.917026
1.615,0.923896
1.66,0.930217
1.705,0.936031
1.75,0.941376
1.795,0.946286
1.84,0.950795
1.885,0.954935
1.93,0.958733
1.975,0.962218
2.02,0.965414
2.065,0.968343
2.11,0.971029
2.155,0.973489
2.2,0.975743
2.245,0.977808
2.29,0.979698
2.335,0.98143
2.38,0.983014
2.425,0.984465
2.47,0.985792
2.515,0.987007
2.56,0.988119
2.605,0.989136
2.65,0.990066
2.695,0.990917
2.74,0.991696
2.785,0.992408
2.83,0.993059
2.875,0.993655
2.92,0.994199
2.965,0.994697
3.01,0.995152
3.055,0.995569
3.1,0.995949
3.145,0.996297
3.19,0.996615
3.235,0.996906
3.28,0.997172
3.325,0.997415
3.37,0.997637
3.415,0.997841
3.46,0.998026
3.505,0.998196
3.55,0.998351
3.595,0.998493
3.64,0.998623
3.685,0.998741
3.73,0.998849
3.775,0.998948
3.82,0.999039
3.865,0.999121
3.91,0.999197
3.955,0.999266
4,0.999329
4.045,0.999387
4.09,0.99944
4.135,0.999488
4.18,0.999532
4.225,0.999572
4.27,0.999609
4.315,0.999643
4.36,0.999673
4.405,0.999702
4.45,0.999727
4.495,0.999751
4.54,0.999772
4.585,0.999792
4.63,0.99981
4.675,0.999826
4.72,0.999841
4.765,0.999855
4.81,0.999867
4.855,0.999879
4.9,0.999889
4.945,0.999899
4.99,0.999907
