X,Y
-20,-40.681800127521775
-19.99,-41.319166149536905
-19.979999999999997,-41.93732875875773
-19.969999999999995,-42.53611538491962
-19.959999999999994,-43.11536195865955
-19.949999999999992,-43.67491294372968
-19.93999999999999,-44.21462136564221
-19.92999999999999,-44.73434883674779
-19.919999999999987,-45.2339655777518
-19.909999999999986,-45.713350435674215
-19.899999999999984,-46.17239089825941
-19.889999999999983,-46.61098310484514
-19.87999999999998,-47.02903185369972
-19.86999999999998,-47.4264506058388
-19.859999999999978,-47.80316148533446
-19.849999999999977,-48.159095276130046
-19.839999999999975,-48.49419141537641
-19.829999999999973,-48.80839798330597
-19.819999999999972,-49.10167168966233
-19.80999999999997,-49.37397785670502
-19.79999999999997,-49.6252903988095
-19.789999999999967,-49.85559179868458
-19.779999999999966,-50.06487308023019
-19.769999999999964,-50.25313377805971
-19.759999999999962,-50.42038190371294
-19.74999999999996,-50.56663390858584
-19.73999999999996,-50.69191464360575
-19.729999999999958,-50.796257315681025
-19.719999999999956,-50.879703440955424
-19.709999999999955,-50.942302794899256
-19.699999999999953,-50.98411335926942
-19.68999999999995,-51.00520126597288
-19.67999999999995,-51.005640737868134
-19.66999999999995,-50.9855140265409
-19.659999999999947,-50.944911347091235
-19.649999999999945,-50.88393080997015
-19.639999999999944,-50.80267834990524
-19.629999999999942,-50.7012676519553
-19.61999999999994,-50.57982007473549
-19.60999999999994,-50.43846457085513
-19.599999999999937,-50.2773376046113
-19.589999999999936,-50.096583066982454
-19.579999999999934,-49.896352187967246
-19.569999999999933,-49.67680344631415
-19.55999999999993,-49.4381024766891
-19.54999999999993,-49.18042197432834
-19.539999999999928,-48.9039415972255
-19.529999999999927,-48.608847865901694
-19.519999999999925,-48.29533406080904
-19.509999999999923,-47.96360011741821
-19.499999999999922,-47.613852519041636
-19.48999999999992,-47.2463041874446
-19.47999999999992,-46.861174371297196
-19.469999999999917,-46.458688532520675
-19.459999999999916,-46.03907823058249
-19.449999999999914,-45.60258100479475
-19.439999999999912,-45.149440254671624
-19.42999999999991,-44.67990511840173
-19.41999999999991,-44.19423034949177
-19.409999999999908,-43.69267619163888
-19.399999999999906,-43.17550825188863
-19.389999999999905,-42.64299737213727
-19.379999999999903,-42.09541949903625
-19.3699999999999,-41.53305555235788
-19.3599999999999,-40.9561912918816
-19.3499999999999,-40.36511718286002
-19.339999999999897,-39.760128260125015
-19.329999999999895,-39.14152399089397
-19.319999999999894,-38.50960813633654
-19.309999999999892,-37.86468861196295
-19.29999999999989,-37.2070773468945
-19.28999999999989,-36.53709014207784
-19.279999999999887,-35.85504652750407
-19.269999999999886,-35.16126961849447
-19.259999999999884,-34.45608597111436
-19.249999999999883,-33.7398254367768
-19.23999999999988,-33.01282101609829
-19.22999999999988,-32.275408712068085
-19.219999999999878,-31.527927382593127
-19.209999999999877,-30.77071859248069
-19.199999999999875,-30.0041264649204
-19.189999999999873,-29.228497532527776
-19.179999999999872,-28.444180588010916
-19.16999999999987,-27.651526534522105
-19.15999999999987,-26.85088823575599
-19.149999999999867,-26.04262036585558
-19.139999999999866,-25.227079259187647
-19.129999999999864,-24.404622760048333
-19.119999999999862,-23.575610072360032
-19.10999999999986,-22.740401609420125
-19.09999999999986,-21.899358843761807
